Year	Total Indian Textiles imported to England	Baft %	Baftas (coloured) %	Baftas (white) %	Bandannoes %	Bettelles %	Boralchowders %	Byram % Pauts % 	Carridarries %	Cheiloes %	Chilleas %	Chintz %	Coopees (white) %	Cossaes (white) %	Cuttanees (white) %	Derebands (white) %	Doreas %	Dosooties (white) %	Dungarees %	Elatches %	Emerties (white) %	Ginghams %	Gurrahs (white) %	Guinea Stuffs %	Humhums (white) %	Lacowries (white) %	Long Cloth (white) %	Mercoolees (white) %	Moorees (white) %	Cotton Fabrics %	Nilleas %	Pallampores %	Pautkeys %	Percalles (white) %	Photaes %	Romalls %	Sail Cloth (white) %	Sallamporees (white) %	Sallowes (white) %	Sannoes (white) %	Seerbettees (white) %	Silk Lungees %	Sooseys %	Sovaguzzies (white) %	Taffetas (white) %	Tanjeebs (white) %
1718	367684	NA	NA	NA	NA	2.8	NA	NA	2.2	NA	NA	2.8	NA	10.1	NA	NA	4.7	NA	NA	NA	NA	NA	11.6	NA	NA	NA	8.1	NA	NA	9	NA	NA	NA	NA	NA	10.3	NA	13.9	NA	NA	2.9	NA	NA	NA	NA	3.4
1719	745081	1.9	NA	NA	NA	4.1	NA	NA	NA	NA	NA	5.1	NA	7.2	NA	NA	NA	NA	NA	NA	NA	NA	3.7	6.1	NA	NA	17.4	NA	NA	3.7	NA	NA	NA	NA	NA	4.3	NA	22.9	NA	NA	NA	NA	2.1	NA	1.8	NA
1720	674795	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.5	NA	9.6	NA	NA	NA	NA	NA	NA	NA	NA	3.8	4.2	NA	NA	11.4	NA	NA	7.2	NA	NA	NA	NA	2.5	5.8	NA	5.4	NA	NA	2.4	NA	3	NA	3.1	3.4
1721	751363	NA	NA	NA	NA	NA	NA	NA	1.6	NA	NA	2.9	NA	7.8	NA	NA	NA	NA	NA	NA	NA	NA	6.5	NA	NA	NA	13.5	NA	NA	5.3	1.6	NA	NA	NA	2.8	7.3	NA	19.1	NA	NA	NA	NA	2.6	NA	2.7	2.3
1722	566793	NA	NA	NA	NA	NA	3.4	NA	NA	NA	NA	11.8	NA	2.8	NA	NA	NA	NA	NA	NA	NA	NA	3.8	13.5	NA	NA	18.5	NA	NA	2.2	NA	NA	NA	NA	NA	3.5	NA	21.3	NA	NA	NA	NA	NA	NA	NA	NA
1723	869530	NA	NA	NA	NA	NA	2.9	NA	NA	NA	NA	3	NA	4.9	NA	NA	NA	NA	NA	NA	NA	NA	5.6	5	NA	NA	23.7	NA	NA	3.1	NA	NA	NA	NA	2.3	1.9	NA	19.9	NA	NA	NA	NA	NA	6.9	1.6	NA
1724	934266	NA	NA	NA	NA	NA	4.6	NA	NA	2.2	NA	10.3	NA	5.2	NA	NA	NA	NA	NA	NA	NA	NA	5.9	14.1	NA	NA	13.8	NA	NA	2.9	NA	NA	NA	NA	2.2	NA	NA	20.4	NA	NA	NA	NA	NA	NA	NA	NA
1725	731552	NA	NA	NA	NA	NA	8.8	NA	NA	2.8	NA	11.4	NA	5.5	NA	NA	NA	NA	NA	NA	NA	NA	6.9	19.7	NA	NA	7.1	NA	NA	3.1	NA	NA	NA	NA	NA	2.9	NA	11.9	NA	NA	NA	NA	NA	NA	NA	NA
1726	870780	NA	NA	NA	NA	NA	4.7	NA	NA	NA	NA	4.9	1.4	10.1	NA	NA	NA	NA	NA	NA	NA	NA	15.9	11.5	NA	NA	6.3	NA	NA	3.6	NA	NA	NA	NA	3.5	5.5	NA	5.2	NA	NA	NA	NA	NA	NA	2.6	2.6
1727	1039275	2	NA	NA	NA	NA	NA	NA	NA	NA	2.2	3.8	NA	9.4	NA	NA	NA	NA	NA	NA	NA	NA	14.5	NA	2	NA	8.6	NA	NA	5.1	NA	NA	NA	NA	7.7	10.2	NA	8	NA	NA	NA	NA	NA	NA	1.9	4.8
1728	641458	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.4	4.8	NA	9.2	NA	NA	NA	1.8	NA	NA	NA	NA	12.9	NA	1.6	NA	8	NA	NA	6.7	NA	NA	NA	NA	4.7	11.6	NA	6.3	NA	NA	NA	NA	NA	NA	2.6	4.3
1729	823496	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.9	NA	14.3	NA	NA	NA	NA	NA	NA	NA	NA	10.2	NA	2.4	NA	11.6	NA	NA	8	NA	NA	NA	NA	3.4	9.6	NA	12.2	NA	NA	NA	NA	1.9	NA	NA	2.9
1730	597439	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.8	NA	15.4	NA	NA	2.3	NA	NA	NA	NA	NA	12.4	NA	5.2	NA	5.6	NA	NA	10	NA	NA	NA	NA	2.5	8.5	NA	5.1	NA	NA	NA	NA	NA	NA	2.7	4.6
1731	736129	3.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.7	NA	14.4	NA	NA	NA	NA	NA	NA	NA	NA	12.5	3.8	6.8	NA	2.9	NA	NA	5.4	NA	NA	NA	NA	2.1	10.4	NA	7.7	NA	NA	NA	NA	NA	NA	NA	5
1732	736353	2.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.8	NA	13.2	NA	NA	NA	NA	NA	NA	NA	NA	18.8	3.3	4.5	NA	1.6	NA	NA	2.7	NA	NA	NA	NA	2.4	11.2	NA	4.3	NA	NA	NA	NA	NA	NA	2.5	4.1
